Rank,Symbol,Company,Signal Type,Crossover Date,Close,SMA 6,SMA 30
1,AXISBANK,Axis Bank Ltd.,Bearish Crossover,2026-09-15,1224.5,1244.32,1247.43
2,BAJAJ-AUTO,Bajaj Auto Ltd.,Bearish Crossover,2026-09-15,11469.0,11730.83,11782.37
3,ETERNAL,Eternal Ltd.,Bearish Crossover,2026-09-15,316.6,320.87,321.34
4,GAIL,GAIL (India) Ltd.,Bearish Crossover,2026-09-15,170.32,174.07,174.14
5,GRASIM,Grasim Industries Ltd.,Bearish Crossover,2026-09-15,3175.8,3280.98,3284.76
6,HINDZINC,Hindustan Zinc Ltd.,Bearish Crossover,2026-09-15,563.45,587.26,588.64
7,JINDALSTEL,Jindal Steel Ltd.,Bearish Crossover,2026-09-15,1090.5,1129.78,1132.43
8,MAXHEALTH,Max Healthcare Institute Ltd.,Bullish Crossover,2026-09-15,1040.1,1023.15,1021.44
9,PNB,Punjab National Bank,Bearish Crossover,2026-09-15,115.06,115.98,115.98
10,ADANIENT,Adani Enterprises Ltd.,Bullish Crossover,2026-09-11,3060.0,3013.83,3011.8
11,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Bullish Crossover,2026-09-11,8836.0,8825.08,8810.37
12,BEL,Bharat Electronics Ltd.,Bearish Crossover,2026-09-11,404.35,405.88,406.51
13,DLF,DLF Ltd.,Bearish Crossover,2026-09-11,644.5,664.19,667.12
14,JSWSTEEL,JSW Steel Ltd.,Bearish Crossover,2026-09-11,1265.0,1300.55,1301.77
15,TATACAP,Tata Capital Ltd.,Bearish Crossover,2026-09-11,362.9,367.02,367.48
16,UNIONBANK,Union Bank of India,Bearish Crossover,2026-09-11,178.1,182.94,183.98
17,SIEMENS,Siemens Ltd.,Bearish Crossover,2026-09-10,3954.4,3964.8,3976.73
18,ZYDUSLIFE,Zydus Lifesciences Ltd.,Bearish Crossover,2026-09-10,1117.8,1135.1,1139.01
19,ADANIPOWER,Adani Power Ltd.,Bullish Crossover,2026-09-09,214.9,208.5,207.63
20,HAL,Hindustan Aeronautics Ltd.,Bullish Crossover,2026-09-09,5000.5,4881.4,4877.9
21,RELIANCE,Reliance Industries Ltd.,Bearish Crossover,2026-09-09,1279.0,1303.5,1307.89
22,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Bullish Crossover,2026-09-08,1710.0,1689.72,1687.31
23,BPCL,Bharat Petroleum Corporation Ltd.,Bearish Crossover,2026-09-08,303.85,314.96,317.28
24,ICICIBANK,ICICI Bank Ltd.,Bearish Crossover,2026-09-08,1399.4,1424.1,1428.69
